member_id,panel_id,window_id,tested_notional_usd,buy_input_atomic,buy_status,sell_eligible,sell_status,buy_route_count,sell_route_count,buy_price_impact_pct,sell_price_impact_pct,roundtrip_quote_retention_bps,buy_first_reliable_available_at,sell_first_reliable_available_at,actual_elapsed_from_member_p0_seconds,buy_error_class,sell_error_class
T21-WATCH-6f21dec76d05f5831216,P0,T21-WATCH-6f21dec76d05f5831216-P0,50,50000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0380656733630640934624374818,0.0136309521288905317873465873,9639.8322,2026-08-01T11:47:26.210618Z,2026-08-01T11:47:28.336130Z,0.0,,
T21-WATCH-6f21dec76d05f5831216,P0,T21-WATCH-6f21dec76d05f5831216-P0,100,100000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0287483080313073435810491256,0.0176681600410470861967833979,10061.125,2026-08-01T11:47:30.584372Z,2026-08-01T11:47:32.738221Z,0.0,,
T21-WATCH-6f21dec76d05f5831216,P1,T21-WATCH-6f21dec76d05f5831216-P1,10,10000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.011968109347263662360153523,0.0147378751541272529038995522,9734.704,2026-08-01T12:26:25.288081Z,2026-08-01T12:26:27.441859Z,2347.843352,,
T21-WATCH-6f21dec76d05f5831216,P1,T21-WATCH-6f21dec76d05f5831216-P1,25,25000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0140930043568085553805912698,0.0168410973008254139808735091,9693.0324,2026-08-01T12:26:29.686705Z,2026-08-01T12:26:31.825397Z,2347.843352,,
T21-WATCH-6f21dec76d05f5831216,P1,T21-WATCH-6f21dec76d05f5831216-P1,50,50000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0176088286261246081133624992,0.0203268839905684272164840076,9624.2222,2026-08-01T12:26:34.018902Z,2026-08-01T12:26:36.302793Z,2347.843352,,
T21-WATCH-6f21dec76d05f5831216,P1,T21-WATCH-6f21dec76d05f5831216-P1,100,100000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,2,0.0245683228454954642400209011,0.0271307235292018468211645395,9489.6751,2026-08-01T12:26:38.414709Z,2026-08-01T12:26:40.698493Z,2347.843352,,
T21-WATCH-6f21dec76d05f5831216,P2,T21-WATCH-6f21dec76d05f5831216-P2,10,10000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,3,0,0.0311221931195260698334881968,9737.002,2026-08-01T13:11:20.220302Z,2026-08-01T13:11:22.367109Z,5042.775573,,
T21-WATCH-6f21dec76d05f5831216,P2,T21-WATCH-6f21dec76d05f5831216-P2,25,25000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0,0.0112106460549054869177653739,9904.5576,2026-08-01T13:11:24.655186Z,2026-08-01T13:11:26.975345Z,5042.775573,,
T21-WATCH-6f21dec76d05f5831216,P2,T21-WATCH-6f21dec76d05f5831216-P2,50,50000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,2,3,0.0233143300974803767224423121,0.0146745983320817112543665989,9623.532,2026-08-01T13:11:28.973459Z,2026-08-01T13:11:31.217625Z,5042.775573,,
T21-WATCH-6f21dec76d05f5831216,P2,T21-WATCH-6f21dec76d05f5831216-P2,100,100000000,QUOTE_AVAILABLE,true,QUOTE_AVAILABLE,3,2,0.0302954397609419765004297001,0.0215739113714187410730170647,9487.8424,2026-08-01T13:11:33.351120Z,2026-08-01T13:11:35.638603Z,5042.775573,,
